5;1;11
+490346986,1540963107;299058237,135419503
=613703879,429821367;2028857739,439290774;803178762,1033602189,1321510598,49516236,1404971602;0
=1387391604,313802281;1623148158,1447122528;953456539,555119326,1569465057,1665354465,46567576;0
=1124068300,991248417;1528957487,321067280;62223600,1473626605,1183657963,1658391647,1396798265;0
=1610403025,2026672339;610324959,1895575201;1292668979,1309528475,1630612934,859538529,190073423;0
=1697573689,1497009287;333194703,1968548731;623366212,521926091,214977867,2077677761,457156865;0
=1602809592,166466987;1144380255,570405728;976858471,701374672,1198291640,7219021,334989492;0
=1295504822,1508055767;823516156,7362227;72817145,1969408026,348153777,1283917002,486420196;0
=670892076,395321022;3462152,1185118933;917571695,1659081736,1457602044,1821315836,1130555694;1
+375727072,419521849;1869710640,2129022347
=866169028,1248246476;1419054556,644910387;1430897675,232180771,1896293050,1367058135,767493078;0
=1461269214,375636127;1563623003,301343852;1407719158,1453865771,1409454873,815287052,122416244;0
=1879547283,2001080845;138522709,395442903;1003720790,1829107375,89848940,668086742,2113178811;0
=276603462,1582092031;941862258,1325405677;669960137,1630431851,1235975019,513377602,1946243210;0
=739479828,1871688598;2137445381,43996580;14332235,179543671,656069032,14856464,712665646;0
=2026261514,1088749382;789948496,369662896;1429664883,410533573,416223576,1767650909,35647160;1
+1475641383,545611230;129917392,93863546
=1902502575,993087585;1610005666,951051435;669149417,239150235,437064791,1711175041,1615833282;0
=714924354,1144590728;1025955737,1294661717;2120267815,1493107110,34679832,1889689357,592417122;0
=89019229,658937740;2049261248,1407799083;424407201,1213244691,1711601591,1019673855,1113404676;0
=370909863,795211034;127531433,1651958815;2144363142,2066642691,1372364753,214977315,1486187061;0
=1621530656,1448306678;1221529598,379793871;219957563,1466704317,1459990108,1694616116,591518384;0
=1446484632,2035146596;1977839353,908968121;696130942,1133703443,1707316068,819208161,1224286733;0
=1217797269,228713218;407312807,403350484;554355388,2000224779,353243315,321677768,974653971;0
=263224148,2036635328;2140023149,895945941;1375344308,975393709,1729049606,217534293,291085667;1
+988985189,1396782523;1835810040,708147888
=1514953478,1413230079;120843871,2104199176;1746443932,34499295,1877004453,1037490998,1897939239;0
=241148758,1998910316;1041890192,1995766665;1669266593,1605014860,1239073463,1714144890,875122850;0
=1669843598,190247932;1323233749,1475710533;729248827,194347550,1202964977,1733444926,1437421574;0
=88918551,623774086;77101045,197747466;389770231,1531305587,1607840994,1313044191,364891660;0
=1910323344,77002651;821972991,507169735;1625768979,1522198042,314260353,148997095,1131721848;0
=62134575,233169472;1209942595,1812317459;1260467150,430648599,1714062601,1060052608,238071039;0
=1613533815,1803740055;277201678,309237371;696054482,512141278,1146578088,1043837162,1112759121;0
=1909209286,1186492033;49819191,258733289;1844635645,479286891,1151400555,852907321,1266643952;0
=384499767,665704323;341667335,1583241583;549083898,290107079,1958082039,614688186,1333770873;1
