6;1;8
+0,0;20000,20000
=12612,0;20000,20000;14438,8912,2968,19704,10638,11414;0
=0,0;20000,20000;4328,9196,18644,9744,9164,8490;0
=0,0;20000,20000;19088,13916,5394,6696,12772,2004;0
=0,0;20000,20000;15682,6734,18180,12398,10008,1046;1
+0,0;20000,20000
=0,0;20000,20000;4194,18022,8784,9318,2532,18180;0
=0,0;20000,20000;4364,9256,13380,5134,19546,4648;0
=0,0;20000,20000;2834,11192,1720,15942,17382,6122;0
=0,0;20000,20000;4766,10204,7292,14180,4556,17738;0
=0,0;20000,20000;10786,19812,2526,4970,9318,11030;0
=0,0;10403,20000;1718,9902,8984,11218,14446,10172;0
=0,0;12612,14362;14438,8912,2968,19704,10638,11414;0
=10403,0;20000,11909;1718,9902,8984,11218,14446,10172;1
