6;1;9
+2721641769,2899135673;2487487004,2758292125
=886486819,1996118555;3142788257,2560053469;2012718962,2261924157,2033665000,2379765923,2699514681,2020657459;0
=191261222,1713801007;1129651586,2308099764;904538361,1546323806,613487803,381510018,3864021306,1618067501;0
=3057208501,2523600578;3252766592,2006668312;2754359119,786353264,1920118053,3569556629,1676038588,2195873981;0
=2287751126,2788801633;2424214185,4201925651;1071886068,2212147040,1062490418,1594428085,4080389021,1629928014;0
=2644548737,900442913;2221899858,1358874176;1204991683,1125751462,1942829056,3515587601,3966041212,2686264799;1
+3119150100,2293334560;108163823,1631310860
=1196954260,3151475394;1833376345,2727887469;3357018237,1657972859,3544982978,1381116933,2787435712,1579748691;0
=2101061714,4149223191;1649927838,3035349238;3186587636,1857872030,3070547198,2339081559,2425577467,2257869851;0
=2626752443,2737666575;1647395300,2557467301;3281720647,2311308355,2433869037,3212412720,3068588489,773222028;0
=2148729241,1914627235;1891089017,1286401381;1838786246,2770369504,1577297861,1700089036,2269178876,2640399279;0
=2465358488,2587643103;2498435088,2713848377;2450644387,817209721,1366049996,2978071045,2201044272,2496233515;0
=1558744950,2543036519;1021643465,3206411578;1805561175,2166535263,2205686375,1624700196,3507851168,1783681498;0
=1503377530,2545333427;2388125650,3107598690;2952482122,766334350,970346716,3203084478,944366846,3320337296;1
