4;1;12
+1634273861,2202860906;1494916130,2407591364
=395574726,1971302672;3812413378,3404650795;1997268588,3605979669,1822655029,3107603552;0
=2742999219,2536308042;3029732573,3098270595;3434189749,3771824620,1606744582,831681637;0
=1623321355,1474366629;3489689820,1443352450;2050946384,1990294767,1934066115,1165877003;0
=1733122723,1592197335;3474954774,2682766622;1865297033,693991968,887399308,2749989663;0
=2658219767,622777402;1908974977,2662588990;2456439525,2323058707,2425221070,3177262008;0
=1248494326,885153101;3623042477,2206220589;311561697,3649115579,2702199118,1917861467;1
+1773811702,2042093521;1246599934,3701349810
=3543031797,1806774970;3195352914,2191284836;851616923,2009936735,387358540,3479489582;0
=2232107496,2771658845;1050303911,3604878619;2371121238,2875443109,1009195509,1026370826;0
=2174312739,3289593667;1065352376,1332352122;2330071444,2351735424,1610945494,789126471;0
=912978325,2082249054;2991372159,1769250714;2369132941,2816979836,782351925,1289257157;0
=2414402057,1424953461;3816171389,1074764251;3708553226,1690460119,2152841871,3621661281;0
=1599868992,1160537290;1675082277,3481211002;3502324030,2994277491,2327554116,1573274044;1
+1253310214,849996826;3127526179,1202710276
=1311160956,3074971594;1194063516,2535682365;2902310811,2986618899,1308789871,1745421966;0
=2856351884,3474385962;2918641462,2152896159;538403404,2344461461,2293975920,1684364815;0
=1998488571,1267681229;3017986104,2062954361;1318059810,1844972260,1804578212,1127580574;0
=1371422530,2882690943;856009973,644177766;1736067341,2595115352,2030510029,1048129230;0
=2229917558,3027843854;2275324654,1577028444;3195350501,2087653261,2309458595,2470345574;0
=3470215836,2285893853;2211094029,1741031644;1267345005,2922157581,1643356613,2771265087;0
=1031420877,2592061422;1609420816,3796176888;2166539413,1520125900,3336188467,2910788031;1
